Bairro;RA
Acupe;Centro/Brotas
Aeroporto;Itapuã/Ipitanga
Águas Claras;Cajazeiras
Alto da Terezinha;Subúrbio/Ilhas
Alto das Pombas;Barra/Pituba
Alto do Cabrito;Liberdade/São Caetano
Alto do Coqueirinho;Itapuã/Ipitanga
Alto do Cruzeiro;Cajazeiras
Amaralina;Barra/Pituba
Areia Branca;Itapuã/Ipitanga
Arenoso;Cabula/Tancredo Neves
Arraial do Retiro;Cabula/Tancredo Neves
Bairro da Paz;Itapuã/Ipitanga
Baixa de Quintas;Liberdade/São Caetano
Barbalho;Centro/Brotas
Barra;Barra/Pituba
Barreiras;Cabula/Tancredo Neves
Barris;Centro/Brotas
Beiru/Tancredo Neves;Cabula/Tancredo Neves
Boa Viagem;Cidade Baixa
Boa Vista de Brotas;Centro/Brotas
Boa Vista de São Caetano;Liberdade/São Caetano
Boca da Mata;Cajazeiras
Boca do Rio;Itapuã/Ipitanga
Bom Juá;Liberdade/São Caetano
Bonfim;Cidade Baixa
Brotas;Centro/Brotas
Cabula;Cabula/Tancredo Neves
Cabula VI;Cabula/Tancredo Neves
Caixa D'Água;Liberdade/São Caetano
Cajazeiras II;Cajazeiras
Cajazeiras IV;Cajazeiras
Cajazeiras V;Cajazeiras
Cajazeiras VI;Cajazeiras
Cajazeiras VII;Cajazeiras
Cajazeiras VIII;Cajazeiras
Cajazeiras X;Cajazeiras
Cajazeiras XI;Cajazeiras
Calabar;Barra/Pituba
Calabetão;Cabula/Tancredo Neves
Calçada;Cidade Baixa
Caminho das Árvores;Barra/Pituba
Caminho de Areia;Cidade Baixa
Campinas de Pirajá;Liberdade/São Caetano
Canabrava;Pau da Lima
Candeal;Centro/Brotas
Canela;Barra/Pituba
Capelinha;Liberdade/São Caetano
Cassange;Itapuã/Ipitanga
Castelo Branco;Cajazeiras
Centro;Centro/Brotas
Centro Administrativo da Bahia;Cabula/Tancredo Neves
Centro Histórico;Centro/Brotas
Chame-Chame;Centro/Brotas
Chapada do Rio Vermelho;Barra/Pituba
Cidade Nova;Liberdade/São Caetano
Colinas de Periperi;Subúrbio/Ilhas
Comércio;Centro/Brotas
Cosme de Farias;Centro/Brotas
Costa Azul;Barra/Pituba
Coutos;Subúrbio/Ilhas
Curuzu;Liberdade/São Caetano
Dois de Julho;Centro/Brotas
Dom Avelar;Cajazeiras
Doron;Cabula/Tancredo Neves
Engenho Velho da Federação;Barra/Pituba
Engenho Velho de Brotas;Centro/Brotas
Engomadeira;Cabula/Tancredo Neves
Fazenda Coutos;Subúrbio/Ilhas
Fazenda Grande do Retiro;Liberdade/São Caetano
Fazenda Grande I;Cajazeiras
Fazenda Grande II;Cajazeiras
Fazenda Grande III;Cajazeiras
Fazenda Grande IV;Cajazeiras
Federação;Barra/Pituba
Garcia;Centro/Brotas
Graça;Barra/Pituba
Granjas Rurais Presidente Vargas;Cabula/Tancredo Neves
Horto Florestal;Centro/Brotas
IAPI;Liberdade/São Caetano
Ilha Amarela;Subúrbio/Ilhas
Ilha de Bom Jesus dos Passos;Subúrbio/Ilhas
Ilha de Maré;Subúrbio/Ilhas
Ilha dos Frades/Ilha de Santo Antônio;Subúrbio/Ilhas
Imbuí;Itapuã/Ipitanga
Itacaranha;Subúrbio/Ilhas
Itaigara;Barra/Pituba
Itapuã;Itapuã/Ipitanga
Itinga (parte Salvador);Itapuã/Ipitanga
Jaguaripe I;Cajazeiras
Jardim Armação;Barra/Pituba
Jardim Cajazeiras;Pau da Lima
Jardim das Margaridas;Itapuã/Ipitanga
Jardim Nova Esperança;Pau da Lima
Jardim Santo Inácio;Cabula/Tancredo Neves
Lapinha;Liberdade/São Caetano
Liberdade;Liberdade/São Caetano
Lobato;Cidade Baixa
Luiz Anselmo;Centro/Brotas
Macaúbas;Centro/Brotas
Mangueira;Cidade Baixa
Marechal Rondon;Liberdade/São Caetano
Mares;Cidade Baixa
Massaranduba;Cidade Baixa
Mata Escura;Cabula/Tancredo Neves
Matatu;Centro/Brotas
Mirantes de Periperi;Subúrbio/Ilhas
Monte Serrat;Cidade Baixa
Moradas da Lagoa;Valéria
Mussurunga;Itapuã/Ipitanga
Narandiba;Cabula/Tancredo Neves
Nazaré;Centro/Brotas
Nordeste de Amaralina;Barra/Pituba
Nova Brasília;Pau da Lima
Nova Constituinte;Subúrbio/Ilhas
Nova Esperança;Itapuã/Ipitanga
Nova Sussuarana;Cabula/Tancredo Neves
Novo Horizonte;Cabula/Tancredo Neves
Novo Marotinho;Pau da Lima
Ondina;Barra/Pituba
Palestina;Valéria
Paripe;Subúrbio/Ilhas
Patamares;Itapuã/Ipitanga
Pau da Lima;Pau da Lima
Pau Miúdo;Liberdade/São Caetano
Periperi;Subúrbio/Ilhas
Pernambués;Cabula/Tancredo Neves
Pero Vaz;Liberdade/São Caetano
Piatã;Itapuã/Ipitanga
Pirajá;Valéria
Pituaçu;Itapuã/Ipitanga
Pituba;Barra/Pituba
Plataforma;Subúrbio/Ilhas
Porto Seco Pirajá;Pau da Lima
Praia Grande;Subúrbio/Ilhas
Resgate;Cabula/Tancredo Neves
Retiro;Liberdade/São Caetano
Ribeira;Cidade Baixa
Rio Sena;Subúrbio/Ilhas
Rio Vermelho;Barra/Pituba
Roma;Cidade Baixa
Saboeiro;Cabula/Tancredo Neves
Santa Cruz;Barra/Pituba
Santa Luzia;Cidade Baixa
Santa Mônica;Liberdade/São Caetano
Santo Agostinho;Centro/Brotas
Santo Antônio;Centro/Brotas
São Caetano;Liberdade/São Caetano
São Cristóvão;Itapuã/Ipitanga
São Gonçalo;Cabula/Tancredo Neves
São João do Cabrito;Subúrbio/Ilhas
São Marcos;Pau da Lima
São Rafael;Pau da Lima
São Tomé;Subúrbio/Ilhas
Saramandaia;Cabula/Tancredo Neves
Saúde;Centro/Brotas
Sete de Abril;Pau da Lima
Stella Maris;Itapuã/Ipitanga
STIEP;Barra/Pituba
Sussuarana;Cabula/Tancredo Neves
Tororó;Centro/Brotas
Trobogy;Pau da Lima
Uruguai;Cidade Baixa
Vale das Pedrinhas;Barra/Pituba
Vale dos Lagos;Pau da Lima
Valéria;Valéria
Vila Canária;Cajazeiras
Vila Laura;Centro/Brotas
Vila Ruy Barbosa/Jardim Cruzeiro;Cidade Baixa
Vista Alegre;Subúrbio/Ilhas
Vitória;Centro/Brotas
