IDHM Educação 2010,Gini,Perc Saneamento Adequado,"Perc Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência",Perc Pessoas mais de 10 anos com rendimento,População residente,IDHM 2010,Municipio,Neural Network,Selected
41.3,49.3,20.64,88.36,63.91,13007.0,60.5,Rio de Contas,59.85018027290901,No
47.1,49.5,6.51,85.47,60.52,14815.0,57.6,Rio do Antônio,58.47546528998949,No
46.3,48.81,0.74,86.33,60.62,11918.0,59.4,Rio do Pires,58.376822524126446,No
43.3,54.68,11.43,82.79,66.48,13456.0,61.7,Salinas da Margarida,58.54026889130241,No
40.4,53.47,5.3,82.96,59.07,19064.0,58.3,Santa Bárbara,56.26055412864977,No
47.9,55.46,30.83,81.48,61.96,15060.0,54.6,Santa Brígida,59.150778885021055,No
46.6,49.21,62.46,85.08,64.68,10363.0,57.4,Santa Inês,60.99566434055216,No
46.3,46.39,40.29,82.29,61.19,13344.0,55.6,Santa Luzia,57.13650163344225,No
49.0,49.21,56.83,86.39,61.32,14098.0,63.9,São Félix,61.557211715422866,No
48.0,50.58,1.28,81.62,65.56,13048.0,63.9,São Félix do Coribe,57.3168588167089,No
51.2,51.81,7.32,81.8,62.98,18427.0,59.2,São Gabriel,58.33974453870805,No
46.7,46.64,31.29,82.6,70.82,10180.0,55.2,São José do Jacuípe,58.59255453994201,No
44.6,52.13,14.01,83.74,68.42,10414.0,59.3,São Miguel das Matas,59.119341380046805,No
49.1,59.05,3.45,84.6,61.96,16585.0,61.4,Sapeaçu,61.0404931372679,No
48.0,54.48,23.74,82.55,57.8,18964.0,52.7,Sátiro Dias,58.60296407470979,No
45.2,50.05,27.05,84.61,63.3,11201.0,61.7,Saubara,58.954869924368886,No
46.4,55.25,19.75,82.66,56.01,11845.0,54.9,Saúde,58.04125411033411,No
46.2,46.35,9.17,85.77,64.19,10371.0,61.5,Sebastião Laranjeiras,58.2851282083009,No
49.1,51.43,0.9,83.98,57.69,18112.0,60.8,Serra Dourada,57.922575057696974,No
48.2,48.87,9.77,84.58,58.67,15401.0,56.6,Serra Preta,57.90014869453499,No
46.3,50.98,4.45,84.44,66.36,12344.0,59.0,Serrolândia,58.90400706668594,No
43.5,59.56,12.04,78.43,45.66,12050.0,56.4,Sítio do Mato,54.144127292596586,No
42.4,55.68,16.07,83.4,61.99,12592.0,53.3,Sítio do Quinto,58.43632204493173,No
53.8,54.38,1.37,81.15,57.83,15899.0,59.2,Souto Soares,58.188830898229625,No
43.4,54.1,0.16,82.73,54.62,11431.0,58.4,Tabocas do Brejo Velho,56.06621558416347,No
48.0,59.97,1.39,83.08,65.96,16128.0,59.9,Tanque Novo,60.6897446039701,No
48.1,53.5,27.4,80.31,65.79,18748.0,56.6,Taperoá,58.47296181376201,No
49.0,61.91,2.18,80.77,56.57,16516.0,59.4,Tapiramutá,58.67439207924217,No
45.3,48.59,21.87,81.74,60.19,14836.0,55.5,Teolândia,56.25685504582,No
43.0,45.76,51.69,84.19,60.2,12803.0,57.8,Terra Nova,57.61595913925627,No
47.2,48.65,6.29,86.55,62.02,17029.0,52.8,Tremedal,59.12573246200877,No
51.3,58.31,33.7,83.9,63.59,19750.0,58.2,Ubaíra,62.45480042316308,No
47.9,53.71,1.91,84.89,65.54,13625.0,61.7,Uibaí,60.01809664722655,No
47.5,50.74,1.56,82.54,50.72,17000.0,51.5,Umburanas,55.48610567833744,No
48.8,51.26,7.42,85.0,63.39,16466.0,59.8,Urandi,59.545534251116514,No
46.7,49.49,59.78,82.66,65.19,19837.0,61.6,Uruçuca,59.69020870467433,No
48.1,62.53,1.91,81.02,65.58,18173.0,59.0,Utinga,60.16570960388121,No
46.9,49.97,17.05,84.38,65.13,13786.0,53.9,Várzea da Roça,59.0730056719049,No
40.6,49.93,31.51,83.64,66.7,13073.0,55.5,Várzea Nova,58.02006921316972,No
43.8,59.93,0.86,82.5,59.24,12485.0,60.0,Wanderley,58.302679320813716,No
46.6,53.45,26.75,81.06,65.49,21271.0,60.8,Alcobaça,58.47716038118925,No
49.7,56.79,18.63,84.57,66.79,34351.0,62.5,Amargosa,61.98239478939898,No
54.5,49.98,8.88,83.54,62.6,25190.0,66.6,Amélia Rodrigues,59.64187717672219,No
46.1,48.41,10.94,84.86,61.52,25516.0,54.0,Anagé,57.96900716252482,No
45.2,54.44,29.15,81.25,61.35,20060.0,58.5,Baixa Grande,57.975336736675274,No
56.0,59.97,15.96,78.75,50.41,49325.0,55.7,Barra,58.29947592013309,No
48.9,54.56,44.19,82.18,63.0,21187.0,57.5,Barra da Estiva,60.272043905324935,No
53.1,44.52,25.08,81.9,66.68,34788.0,55.1,Barra do Choça,58.265906966476464,No
52.5,49.79,51.81,81.16,60.99,21798.0,59.8,Belmonte,59.2685009234924,No
50.3,53.57,1.1,84.01,60.21,22037.0,60.3,Boquira,59.18569088015757,No
48.4,57.29,44.53,84.76,62.02,32026.0,64.7,Cachoeira,62.240524061330646,No
49.6,48.35,15.31,86.37,69.9,22236.0,63.7,Caculé,61.10392197173452,No
54.6,59.93,31.25,84.92,66.17,47515.0,62.5,Caetité,64.58746083680958,No
53.6,62.44,64.67,80.85,58.45,31472.0,58.1,Camacan,62.81269824527905,No
56.5,54.84,31.39,79.11,61.6,35180.0,56.5,Camamu,59.62036398884919,No
51.3,60.78,0.0,81.28,53.13,28090.0,55.7,Campo Alegre de Lourdes,58.60309480485772,No
50.5,48.88,1.24,81.32,69.79,24067.0,58.7,Canarana,57.95538572995927,No
51.4,51.97,49.59,82.82,63.92,32336.0,59.0,Canavieiras,60.9272880788302,No
50.4,51.08,7.28,83.0,65.29,27918.0,60.1,Cândido Sales,59.03182230580344,No
56.1,57.33,19.42,81.38,58.24,32908.0,55.7,Cansanção,60.466745516198515,No
50.2,54.93,10.85,82.73,69.86,26577.0,62.1,Capim Grosso,60.69309747697731,No
49.8,58.73,21.14,81.01,61.2,21414.0,61.6,Caravelas,59.67306477230549,No
50.3,51.72,5.32,80.86,58.44,28380.0,57.6,Carinhanha,56.801771458368485,No
51.6,54.94,53.56,84.45,60.72,25408.0,61.3,Castro Alves,62.3395931392235,No
50.1,53.91,40.01,85.03,66.15,32300.0,58.5,Cícero Dantas,62.35923909846322,No
50.3,56.38,77.81,83.77,60.46,20964.0,61.3,Coaraci,62.97227639701198,No
51.0,57.38,5.46,83.49,57.68,20391.0,63.4,Conceição da Feira,59.82873305026278,No
54.5,48.47,4.68,84.13,65.67,30123.0,66.3,Conceição do Jacuípe,59.90076110328008,No
48.0,63.63,7.71,79.45,55.27,23620.0,56.0,Conde,58.175813872237754,No
51.7,52.93,3.55,84.07,57.63,22401.0,59.2,Coração de Maria,59.07601344243558,No
51.8,58.85,13.94,83.17,54.94,31249.0,60.3,Correntina,60.160497161802695,No
46.5,58.31,4.88,82.28,64.49,20046.0,54.3,Crisópolis,59.37217329642558,No
51.3,52.79,33.69,80.93,58.83,32168.0,58.1,Curaçá,58.58754506452054,No
46.5,51.22,16.88,81.24,57.93,23766.0,54.4,Encruzilhada,56.39827843352735,No
50.8,62.49,9.51,81.67,53.42,39872.0,61.5,Entre Rios,59.62128103825977,No
56.2,59.0,9.31,80.64,59.61,32802.0,58.9,Esplanada,60.29911260747437,No
55.3,61.36,2.67,80.49,53.82,22528.0,61.8,Formosa do Rio Preto,59.42858967262906,No
55.6,59.89,47.81,82.41,69.6,30336.0,63.2,Gandu,64.5407760995898,No
49.2,53.85,39.62,82.53,61.6,22165.0,55.8,Guaratinga,59.95326474574334,No
51.9,62.82,27.63,82.6,58.7,25736.0,57.4,Iaçu,62.03082778325174,No
51.5,54.83,61.48,83.61,65.07,24272.0,62.5,Ibicaraí,62.80371642098265,No
53.5,52.96,42.67,79.37,62.43,22598.0,55.8,Ibirapitanga,59.15042916129919,No
49.2,55.81,26.2,82.8,61.95,25424.0,63.6,Ibotirama,60.132044598306344,No
46.6,56.41,51.23,83.01,60.43,25705.0,55.2,Iguaí,60.60292442387684,No
50.2,53.7,29.13,81.36,60.34,36306.0,56.5,Inhambupe,58.87567446680148,No
57.5,69.96,64.06,84.26,64.68,44390.0,67.0,Ipiaú,68.61452300798759,No
49.5,61.75,4.03,81.36,55.85,22601.0,59.9,Iraquara,59.064364929161314,No
51.6,49.93,2.31,83.9,67.98,27466.0,62.0,Irará,59.737796480808846,No
49.7,56.81,2.97,80.32,61.06,28390.0,59.9,Itabela,57.99698437317726,No
51.3,55.45,33.99,79.7,62.0,24318.0,58.3,Itacaré,59.06517818478039,No
49.8,50.08,56.06,84.11,65.25,21081.0,59.9,Itajuípe,61.25294560640372,No
49.6,41.35,77.23,82.76,66.47,23089.0,57.8,Itambé,59.207211372423444,No
49.7,54.24,61.94,85.61,66.82,20216.0,63.7,Itanhém,63.66596817471624,No
49.8,60.35,40.83,84.52,60.04,20725.0,67.0,Itaparica,62.743011453186185,No
52.5,54.99,8.62,80.82,58.98,32261.0,48.6,Itapicuru,58.37095554120578,No
49.8,56.98,18.15,81.47,58.88,36113.0,54.4,Itiúba,59.02746969310405,No
55.3,51.14,33.36,81.32,68.49,26591.0,60.6,Ituberá,60.77810724535849,No
52.4,67.48,54.54,84.15,57.1,30343.0,65.9,Jaguarari,65.12527882200321,No
51.0,53.6,31.68,81.88,65.91,37680.0,54.7,Jeremoabo,60.30646991073941,No
49.1,53.84,4.17,80.43,65.16,22549.0,59.3,João Dourado,57.81758788674735,No
50.3,51.41,19.04,82.94,65.35,22201.0,58.6,Laje,59.540862331570374,No
51.4,52.64,8.25,81.64,65.29,25646.0,59.6,Lapão,58.92416972679695,No
54.1,53.78,26.71,85.05,60.92,42693.0,61.1,Livramento de Nossa Senhora,61.922749110843384,No
55.8,56.04,23.48,84.08,58.03,47051.0,60.9,Macaúbas,61.7768608739831,No
46.5,51.78,6.28,84.25,68.32,24613.0,60.7,Maracás,59.456828595576866,No
52.5,57.41,37.71,84.37,62.39,42815.0,62.1,Maragogipe,62.79428521313908,No
55.5,58.66,35.95,83.09,58.24,40183.0,66.8,Mata de São João,62.354937438964356,No
50.8,54.34,30.95,84.26,65.76,21560.0,62.5,Medeiros Neto,61.73454111698983,No
48.7,54.8,36.44,83.62,66.64,26475.0,58.6,Miguel Calmon,61.3755030636877,No
48.5,51.65,7.91,81.3,62.72,35164.0,58.8,Morro do Chapéu,57.407406874452434,No
54.8,59.69,16.9,81.51,60.17,36026.0,66.5,Mucuri,61.06299308618557,No
50.4,65.85,32.43,82.61,60.28,24395.0,59.0,Mundo Novo,62.9241856867966,No
50.1,56.18,12.68,85.14,62.48,28899.0,66.0,Muritiba,61.31651963418412,No
46.9,64.23,41.86,84.58,67.04,21449.0,60.1,Mutuípe,64.25671177261519,No
52.7,61.05,49.67,84.93,64.06,27274.0,64.1,Nazaré,64.83340226792004,No
49.8,57.86,0.8,82.27,56.45,24136.0,55.5,Nova Soure,58.60157641050377,No
53.3,62.3,12.62,80.69,63.67,38556.0,65.4,Nova Viçosa,61.30275027533505,No
47.9,59.67,44.64,82.12,50.63,24943.0,55.9,Olindina,59.44967918647968,No
49.0,57.26,4.18,83.78,52.29,21831.0,55.4,Oliveira dos Brejinhos,58.61543435193051,No
47.4,49.36,5.56,84.54,64.76,20775.0,58.6,Palmas de Monte Alto,58.60606581312511,No
48.2,51.34,27.48,86.43,62.45,21001.0,61.5,Paramirim,60.9382690542307,No
53.1,55.47,1.05,81.74,51.28,29504.0,59.0,Paratinga,57.65044631762203,No
47.6,59.11,14.55,84.26,58.45,27778.0,57.7,Paripiranga,60.449405392925456,No
50.7,60.16,0.59,79.53,52.93,32860.0,50.6,Pilão Arcado,57.299443439114505,No
49.6,51.45,27.14,81.43,58.93,20121.0,57.7,Pindobaçu,57.8521218589768,No
53.7,52.64,34.46,82.49,63.19,22399.0,57.8,Piritiba,60.68711439390684,No
55.0,46.34,0.78,82.73,64.47,24481.0,56.0,Planalto,58.29414016732238,No
57.4,55.27,62.69,82.14,63.1,44701.0,60.4,Poções,63.22271860872945,No
51.6,52.5,81.02,84.08,57.1,33066.0,66.6,Pojuca,62.06984140642841,No
52.2,56.07,11.85,80.5,66.42,27627.0,62.1,Prado,59.67966425042134,No
48.2,55.17,25.17,81.09,65.98,23846.0,55.9,Presidente Tancredo Neves,59.33098107227391,No
47.6,52.01,33.06,82.68,63.27,24602.0,59.2,Queimadas,59.18358691739272,No
47.4,58.33,9.31,82.72,58.08,27228.0,54.4,Quijingue,59.039405755089795,No
51.0,50.31,11.01,82.5,59.49,22874.0,56.4,Rafael Jambeiro,57.92196301941456,No
55.9,54.65,48.02,81.9,61.99,38957.0,57.9,Remanso,61.78850471038767,No
53.0,54.34,3.54,82.85,51.45,21937.0,57.8,Riachão das Neves,58.081955832154335,No
49.2,48.07,56.84,85.53,67.57,33172.0,62.8,Riachão do Jacuípe,61.823200186888556,No
51.0,56.25,5.21,83.85,62.29,30646.0,61.5,Riacho de Santana,60.46806817637908,No
57.7,54.38,23.51,83.2,64.16,47518.0,60.1,Ribeira do Pombal,62.22927351650364,No
51.6,53.79,6.68,82.0,65.5,37164.0,57.2,Rio Real,59.4716380928025,No
52.7,56.34,49.86,82.65,61.52,29887.0,61.0,Ruy Barbosa,61.90714337173159,No
47.3,58.75,40.89,79.39,63.61,26264.0,65.4,Santa Cruz Cabrália,59.366521333907556,No
53.1,54.75,10.04,83.34,62.99,40309.0,61.4,Santa Maria da Vitória,60.5945010310254,No
49.1,60.61,13.21,82.41,58.12,26250.0,60.5,Santa Rita de Cássia,60.01504894640222,No
55.5,49.99,51.71,82.77,66.03,33838.0,59.8,Santaluz,61.744052538317455,No
46.7,55.18,7.3,83.52,64.23,24750.0,60.8,Santana,59.380517859515784,No
57.1,57.55,6.48,83.21,62.14,47880.0,62.6,Santo Estêvão,61.91418898968238,No
54.0,57.53,5.91,80.61,53.85,27659.0,57.9,São Desidério,58.343140381952004,No
49.6,51.01,8.14,85.94,63.8,20305.0,61.6,São Felipe,60.306730263703415,No
53.2,51.98,60.64,83.51,57.82,33183.0,67.4,São Francisco do Conde,61.24978414738467,No
56.4,56.81,5.96,83.49,63.45,33283.0,62.7,São Gonçalo dos Campos,61.87047618353287,No
58.3,54.64,53.06,84.72,58.96,42153.0,65.7,São Sebastião do Passé,63.70422729511117,No
56.8,58.03,2.26,82.08,63.8,41798.0,63.5,Seabra,61.392409111500996,No
55.3,53.43,28.66,78.97,59.77,37425.0,58.5,Sento Sé,58.5018734284111,No
51.8,54.67,0.8,80.63,54.17,31638.0,59.5,Serra do Ramalho,56.94615684147914,No
49.3,51.6,73.72,81.84,59.64,22000.0,63.1,Sobradinho,60.08625603769948,No
53.7,50.83,12.13,85.18,64.56,20013.0,57.7,Tanhaçu,61.04995352206021,No
48.2,54.75,21.44,81.39,59.47,21482.0,56.6,Teofilândia,58.22332204594707,No
50.8,57.77,2.21,84.0,59.28,24294.0,60.5,Uauá,60.301586048430366,No
56.8,56.19,61.26,82.39,64.64,20691.0,61.1,Ubaitaba,63.59771751332748,No
49.0,53.56,51.33,82.72,58.88,25004.0,59.3,Ubatã,60.00494955864783,No
43.4,51.78,21.86,81.34,64.85,24110.0,56.0,Una,57.16809233199099,No
53.2,49.83,45.23,85.28,72.02,24560.0,63.7,Valente,63.2593662749918,No
57.2,57.87,20.13,83.81,62.56,37567.0,64.5,Vera Cruz,62.969924989202546,No
45.9,45.2,23.72,80.57,68.02,22189.0,54.4,Wenceslau Guimarães,56.143225511871115,No
54.8,56.78,32.35,80.43,58.37,45536.0,58.5,Xique-Xique,60.05524554878365,No
59.4,56.67,28.17,80.48,59.66,51651.0,53.4,Araci,61.15846137785468,No
54.1,60.48,30.02,81.04,62.03,63480.0,63.3,Bom Jesus da Lapa,61.72572983612926,No
55.9,52.26,60.53,85.78,65.97,64602.0,65.6,Brumado,64.58142799714626,No
56.2,57.13,9.16,81.85,62.98,66616.0,58.6,Campo Formoso,61.09568335519919,No
57.8,51.2,66.58,84.61,59.47,83158.0,69.1,Candeias,63.34785252431293,No
56.2,54.83,34.96,80.73,60.37,64940.0,57.0,Casa Nova,60.499929159997016,No
55.4,57.96,65.49,85.41,56.63,51077.0,67.7,Catu,64.4695843540352,No
57.3,49.46,29.12,83.12,69.7,62040.0,61.1,Conceição do Coité,61.92494067830423,No
59.9,57.34,16.57,85.74,62.15,58606.0,69.9,Cruz das Almas,64.39929661782,No
58.4,53.37,55.01,81.83,59.22,66440.0,67.6,Dias d'Ávila,61.90586551899903,No
55.1,55.59,7.61,83.14,62.49,56289.0,56.7,Euclides da Cunha,61.018018832915416,No
57.2,55.81,51.35,85.32,69.88,78833.0,67.3,Guanambi,65.80816897075461,No
55.1,52.94,46.77,83.16,63.04,59343.0,54.9,Ipirá,62.036362106344,No
57.2,59.95,28.68,83.14,66.54,66181.0,69.1,Irecê,64.16134125367226,No
57.9,59.05,65.05,83.12,66.24,61631.0,62.0,Itaberaba,65.51347547000626,No
56.8,55.8,51.71,82.61,66.32,63069.0,62.7,Itamaraju,63.58240640907292,No
55.3,49.62,90.28,83.82,71.25,68273.0,66.7,Itapetinga,64.67525253405503,No
58.4,55.37,51.91,84.01,68.74,79247.0,64.9,Jacobina,65.06323300115231,No
55.9,51.43,28.88,82.12,63.75,51011.0,58.0,Jaguaquara,60.584591835012105,No
58.7,63.37,16.17,80.24,68.27,60105.0,71.6,Luís Eduardo Magalhães,63.477599290739064,No
53.2,55.17,8.93,82.09,58.73,52338.0,50.6,Monte Santo,59.32718400376801,No
60.0,56.9,53.47,85.2,61.96,57800.0,64.6,Santo Amaro,65.4814761118461,No
58.1,54.98,62.64,85.32,70.6,90985.0,70.0,Santo Antônio de Jesus,66.4004402997464,No
55.1,58.33,53.42,83.7,64.35,74419.0,66.6,Senhor do Bonfim,64.26839632230516,No
59.1,56.12,46.15,83.57,61.89,76762.0,63.4,Serrinha,63.8615821764906,No
52.0,66.14,40.74,82.99,62.72,52418.0,57.9,Tucano,64.36908492610625,No
57.2,55.39,59.15,83.22,67.35,88673.0,62.3,Valença,64.43918786649344,No
61.6,57.38,53.48,85.38,63.63,141949.0,68.3,Alagoinhas,66.52183753449695,No
66.8,57.04,33.63,82.72,65.85,137427.0,72.1,Barreiras,65.62263674518346,No
61.9,54.58,62.37,83.55,64.25,242970.0,69.4,Camaçari,65.48535612166472,No
59.4,58.77,34.76,82.54,65.05,100196.0,67.7,Eunápolis,64.10659887840951,No
66.7,58.75,58.02,84.17,68.79,184236.0,69.0,Ilhéus,68.44162144159452,No
59.0,57.45,78.14,85.52,66.91,204667.0,71.2,Itabuna,67.67944706211237,No
64.3,56.59,75.63,84.58,66.38,151895.0,66.5,Jequié,67.83682248110324,No
61.6,57.23,62.17,81.91,63.35,197965.0,67.7,Juazeiro,64.92195463878132,No
66.3,65.19,78.62,84.88,67.33,163449.0,75.4,Lauro de Freitas,71.01931618730129,No
59.2,58.85,79.32,83.89,62.9,108396.0,67.4,Paulo Afonso,66.37215772713729,No
59.0,56.93,51.35,80.33,68.32,126929.0,67.6,Porto Seguro,63.50917434074876,No
58.8,52.58,57.96,82.73,59.99,118047.0,67.5,Simões Filho,62.661190482455005,No
62.2,54.08,63.06,82.87,67.74,138341.0,68.5,Teixeira de Freitas,65.37703526827656,No
65.0,55.88,56.8,83.95,68.28,306866.0,67.8,Vitória da Conquista,67.30683410502054,No
64.3,60.79,53.02,84.69,67.62,556642.0,71.2,Feira de Santana,69.13950277727194,No
67.9,64.49,89.87,87.12,67.04,2675656.0,75.9,Salvador,78.34368080889611,No
